"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Sales API Tests","0","0","API_POST_SLS_USR_002 - Normal user cannot create a sale","0"
"1","","0","Sales API Tests","0","0","API_POST_SLS_ADM_001 - Admin creates a sale and plant stock is reduced","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_USR_002 - Verify non-admin can get plant by ID","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_003 - Verify non-admin can search a relevant plant","0"
"0","","0","Authentication API Tests","1","0","API_POST_AUTH_ADM_001 - Admin login returns an auth token","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_009 - Unauthenticated user accessing plants is redirected to login","0"
"1","","0","Plants UI Tests","0","0","UI_PLT_ADM_001 - Verify that admin users should be able to add a new plant with valid data","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_USR_005 - User can sort plants by price ascending","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_ADM_002 - Selling a plant with quantity zero shows an error","0"
"0","","1","Plants API Tests","0","0","API_DEL_PLT_USR_002 - Normal user cannot delete a plant","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_002 - Admin can see edit and delete buttons for every category","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_USR_001 - Unauthenticated user accessing sales is redirected to login","0"
"0","","1","Plants UI Tests","0","0","UI_PLT_USR_010 - User can sort the plant list by price","0"
"0","","0","Categories API Tests","1","0","API_GET_CAT_USR_002 - User can get categories with pagination","0"
"0","","0","Categories API Tests","1","0","API_POST_CAT_ADM_002 - Admin cannot create a category with a missing name","0"
"0","","1","Plants API Tests","0","0","API_POST_PLT_ADM_007 - Backend must not return 500 when optional Swagger fields are included (error handling)","0"
"1","","0","Sales API Tests","0","0","API_DEL_SLS_USR_001 - Normal user cannot delete a sale and receives 403","0"
"0","","0","Plants API Tests","1","0","API_PUT_PLT_ADM_004 - Admin updating a plant with a non-existent id returns 404","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_ADM_001 - Verify admin can view all plants","0"
"0","","1","Sales API Tests","0","0","API_GET_SLS_USR_001 - Normal user can get a sale by id","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_004 - Verify Add A Category button is clickable","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_008 - Verify that empty sales list displays a message","0"
"0","","0","Categories API Tests","1","0","API_DEL_CAT_ADM_001 - Verify admin can delete category","0"
"0","","0","Categories API Tests","1","0","API_GET_CAT_USR_001 - Normal user can get all categories","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_USR_004 - User can filter plants by category","0"
"0","","1","Categories UI Tests","0","0","UI_CAT_USR_003 - Verify non-admin cannot edit or delete categories","0"
"0","","0","Authentication API Tests","1","0","API_POST_AUTH_USR_002 - Normal user login with incorrect password fails","0"
"0","","0","Categories API Tests","1","0","API_POST_CAT_ADM_001 - Admin can create a category","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_007 - Verify admin can save a new category","0"
"0","","0","Categories API Tests","1","0","API_POST_CAT_ADM_003 - Verify admin cannot create category name less than 3 characters","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_001 - Admin can see the Add A Category button","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_ADM_005 - Cancel on Sell Plant page navigates back to sales list","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_002 - Verify non-admin does not see Add Plant button","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_USR_003 - Normal user login with empty password is prohibited","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_005 - Verify admin can add category name","0"
"0","","1","Authentication UI Tests","0","0","UI_DASH_ADM_001 - Admin dashboard shows the required summary cards only","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_001 - Verify non-admin can view plant list","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_USR_004 - Login with empty username and non-empty password is prohibited","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_USR_001 - Verify non-admin can see all plants","0"
"0","","0","Categories API Tests","1","0","API_PUT_CAT_ADM_001 - Verify admin can update category","0"
"0","","0","Authentication API Tests","1","0","API_POST_AUTH_USR_003 - Login request with an empty body fails","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_004 - Verify that user blocked from Add Plant page","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_USR_002 - Verify no category found message","0"
"0","","1","Plants API Tests","0","0","API_DEL_PLT_ADM_005 - Admin can delete an existing plant","0"
"0","","1","Categories UI Tests","0","0","UI_CAT_USR_001 - Normal user cannot see category management controls","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_USR_005 - User logout ends the session","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_ADM_001 - Admin sells a plant successfully","0"
"0","","0","Plants API Tests","1","0","API_POST_PLT_ADM_003 - Admin cannot create a plant with negative quantity","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_ADM_002 - Verify that admin users get redirected to plants page when click cancel at add plant page","0"
"0","","1","Plants API Tests","0","0","API_PUT_PLT_USR_001 - Normal user cannot update a plant","0"
"0","","0","Authentication API Tests","1","0","API_GET_AUTH_USR_001 - Calling a protected endpoint without authentication returns 401","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_006 - Verify that user does not see the Sell Plant button","0"
"0","","0","Categories API Tests","1","0","API_PUT_CAT_USR_001 - Verify non-admin cannot update category","0"
"0","","0","Sales API Tests","1","0","API_GET_SLS_ADM_005 - Admin can get the sales list sorted by date descending","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_USR_001 - Normal user can log in with correct credentials","0"
"0","","0","Authentication API Tests","1","0","API_POST_AUTH_USR_001 - Normal user login returns an auth token","0"
"0","","1","Plants API Tests","0","0","API_POST_PLT_ADM_006 - Backend must accept the exact Swagger example body and return 201 (contract compliance)","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_USR_004 - Unauthenticated user accessing categories is redirected to login","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_ADM_004 - Sales list is sorted by date descending by default","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_007 - Verify that user does not see the delete button on sales rows","0"
"0","","1","Plants UI Tests","0","0","UI_PLT_ADM_003 - Verify that category in plants page is a subcategory","0"
"0","","0","Plants API Tests","1","0","API_GET_PLT_USR_003 - Normal user can retrieve all plants","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_006 - Verify Cancel redirects to Categories Page","0"
"0","","0","Categories API Tests","1","0","API_GET_CAT_ADM_002 - Admin can get a category by ID","0"
"1","","0","Sales API Tests","0","0","API_POST_SLS_ADM_002 - Creating a sale exceeding available stock returns an error","0"
"0","","0","Plants API Tests","1","0","API_POST_PLT_USR_001 - Verify non-admin cannot create plant","0"
"0","","0","Categories API Tests","1","0","API_POST_CAT_USR_001 - Normal user cannot create a category","0"
"0","","0","Plants API Tests","1","0","API_POST_PLT_ADM_002 - Admin cannot create a duplicate plant in the same category","0"
"0","","0","Categories API Tests","1","0","API_POST_CAT_ADM_004 - Verify admin cannot create category name more than 10 characters","0"
"1","","0","Sales API Tests","0","0","API_DEL_SLS_ADM_004 - Admin deletes a sale successfully","0"
"0","","0","Categories API Tests","1","0","API_GET_CAT_ADM_001 - Admin can get all categories","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_008 - Verify admin can create sub category","0"
"0","","1","Plants UI Tests","0","0","UI_PLT_ADM_005 - Verify that admin user can't delete a plant that has a sales record","0"
"1","","0","Sales API Tests","0","0","API_POST_SLS_ADM_003 - Creating a sale with quantity zero is rejected","0"
"0","","0","Sales UI Tests","1","0","UI_SLS_ADM_003 - Admin deletes a sale record successfully","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_ADM_001 - Admin can log in with correct credentials","0"
"0","","0","Categories UI Tests","1","0","UI_CAT_ADM_003 - Category search filters by an existing category name","0"
"0","","0","Authentication UI Tests","1","0","UI_AUTH_USR_002 - Normal user login with incorrect password is prohibited","0"
"0","","0","Categories API Tests","1","0","API_DEL_CAT_USR_001 - Verify non-admin cannot delete category","0"
"1","","0","Plants UI Tests","0","0","UI_PLT_ADM_004 - Verify that admin users can't add a plant with zero price","0"
"0","","0","Plants UI Tests","1","0","UI_PLT_USR_005 - Verify that user can view the sales page","0"
"0","","1","Plants API Tests","0","0","API_POST_PLT_ADM_001 - Admin creates a valid plant under a sub-category","0"
